,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9
1,millions,free,vote,country,wall,means,billion,system,percent
2,economic,greed,street,money,street,isis,violent,political,act
3,nations,percent,change,climate,financial,class,income,wealth,rates
4,poverty,works,road,congress,banks,work,1,create,real
5,programs,paying,fight,insurance,economy,socialism,class,billion,wrong
6,far,yet,super,rigged,banking,economy,told,large,fail
7,banks,fight,without,nearly,credit,health,whose,powerful,affordable
8,exist,corporations,working,corporate,bank,government,percent,business,bank
9,tax,wealthy,ago,power,federal,countries,crisis,bail,commercial
10,called,behavior,support,economic,illegal,care,trillions,international,major
11,interests,fact,wall,contributions,institutions,roosevelt,fear,one-tenth,case
12,ending,wealthiest,kids,process,justice,wealth,prices,bottom,billions
13,policy,done,candidate,fighting,huge,major,paying,income,congress
14,including,billionaires,iowa,leave,reserve,earth,combat,fail,2008
15,foreign,15,citizens,government,glass-steagall,organization,enormous,policy,elected
16,public,address,planet,wealthiest,fraud,rights,inequality,reform,taxpayers
17,jail,muslim,trade,six,chase,living,radical,TRUE,bailed
18,standard,freedom,voted,corrupt,fed,socialist,defeat,caused,senator
19,sense,change,political,trying,executives,home,20,moral,institution
20,serious,unfair,came,turn,jp,king,deserves,took,public